0 0.01 -1.88486e-009  0.004 1.77636e-018 0.004
0.001 0.0099996 -0.000799991  0.00399968 3.19993e-007 0.004
0.002 0.0099984 -0.00159992  0.00399872 1.27987e-006 0.004
0.003 0.0099964 -0.00239971  0.00399712 2.87931e-006 0.004
0.004 0.0099936 -0.00319932  0.00399488 5.11782e-006 0.004
0.005 0.00999 -0.00399867  0.00399201 7.99468e-006 0.004
0.006 0.0099856 -0.0047977  0.00398849 1.1509e-005 0.004
0.007 0.00998041 -0.00559634  0.00398434 1.56595e-005 0.004
0.008 0.00997441 -0.00639454  0.00397955 2.04451e-005 0.004
0.009 0.00996762 -0.00719223  0.00397414 2.58641e-005 0.004
0.01 0.00996003 -0.00798934  0.00396809 3.19148e-005 0.004
0.011 0.00995164 -0.00878581  0.0039614 3.85952e-005 0.004
0.012 0.00994246 -0.00958158  0.0039541 4.59033e-005 0.004
0.013 0.00993248 -0.0103766  0.00394616 5.38367e-005 0.004
0.014 0.0099217 -0.0111708  0.00393761 6.23929e-005 0.004
0.015 0.00991013 -0.011964  0.00392843 7.15691e-005 0.004
0.016 0.00989777 -0.0127564  0.00391864 8.13623e-005 0.004
0.017 0.00988462 -0.0135477  0.00390823 9.17695e-005 0.004
0.018 0.00987068 -0.0143379  0.00389721 0.000102787 0.004
0.019 0.00985595 -0.0151269  0.00388559 0.000114412 0.004
0.02 0.00984043 -0.0159148  0.00387336 0.000126641 0.004
0.021 0.00982412 -0.0167014  0.00386053 0.000139468 0.004
0.022 0.00980702 -0.0174866  0.00384711 0.000152891 0.004
0.023 0.00978915 -0.0182705  0.00383309 0.000166905 0.004
0.024 0.00977048 -0.0190529  0.00381849 0.000181506 0.004
0.025 0.00975104 -0.0198338  0.00380331 0.000196689 0.004
0.026 0.00973082 -0.020613  0.00378755 0.000212449 0.004
0.027 0.00970981 -0.0213907  0.00377122 0.00022878 0.004
0.028 0.00968804 -0.0221666  0.00375432 0.000245679 0.004
0.029 0.00966548 -0.0229407  0.00373686 0.000263138 0.004
0.03 0.00964215 -0.023713  0.00371885 0.000281154 0.004
0.031 0.00961806 -0.0244835  0.00370028 0.00029972 0.004
0.032 0.00959319 -0.0252519  0.00368117 0.000318829 0.004
0.033 0.00956755 -0.0260183  0.00366152 0.000338477 0.004
0.034 0.00954115 -0.0267827  0.00364134 0.000358656 0.004
0.035 0.00951399 -0.0275449  0.00362064 0.000379361 0.004
0.036 0.00948606 -0.0283049  0.00359942 0.000400584 0.004
0.037 0.00945738 -0.0290627  0.00357768 0.000422319 0.004
0.038 0.00942794 -0.0298181  0.00355544 0.000444559 0.004
0.039 0.00939774 -0.0305711  0.0035327 0.000467296 0.004
0.04 0.0093668 -0.0313217  0.00350948 0.000490524 0.004
0.041 0.0093351 -0.0320698  0.00348576 0.000514235 0.004
0.042 0.00930266 -0.0328153  0.00346158 0.000538422 0.004
0.043 0.00926947 -0.0335582  0.00343692 0.000563076 0.004
0.044 0.00923554 -0.0342984  0.00341181 0.00058819 0.004
0.045 0.00920088 -0.0350358  0.00338624 0.000613755 0.004
0.046 0.00916547 -0.0357705  0.00336024 0.000639764 0.004
0.047 0.00912934 -0.0365023  0.00333379 0.000666209 0.004
0.048 0.00909247 -0.0372312  0.00330692 0.00069308 0.004
